#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
隊	무리 대(언덕(阝)에서 두눈(``)을 뜨고 돼지(豕)를 잡는 무리)	たい 軍隊（ぐんたい）ー군대 髪を刈って軍隊に入る（かみをかってぐんたいにはいる）ー머리를 깍고 군에 입대하다 兵隊（へいたい）ー병대 隊員（たいいん）ー대원 部隊（ぶたい）ー부대 隊長（たいちょう）ー대장 除隊（じょたい）ー제대 隊列（たいれつ）ー대열 艦隊（かんたい）ー함대		무리 대(隊) / 떨어질 추(墜) / 떨어질 타(堕) / 뼛골 수(髄) / 따를 수(随)
墜	떨어질 추(군대 무리가(隊) 바닥(土)로 떨어져 추락) (무리 대(隊) : 언덕(阝)에서 두눈(``)을 뜨고 돼지(豕)를 잡는 무리)	つい 墜落（ついらく）ー추락 墜死（ついし）ー추락사 飛行機の墜落事故（ひこうきのついらくじこ）ー비행기 추락 사고 撃墜（げきつい）ー격추 敵機を撃墜する（てっきをげきついする）ー적기를 격추하다 失墜（しっつい）ー실추 名誉を失墜する（めいよをしっついする）ー명예를 실추하다		무리 대(隊) / 떨어질 추(墜) / 떨어질 타(堕) / 뼛골 수(髄) / 따를 수(随)
堕	떨어질 타(언덕 위(阝)에 있는 것(有)이 땅(土)으로 떨어진 타락한존재)	だ 堕落（だらく）ー타락 友達を堕落の道から救う（ともだちをだらくのみちからすくう）ー친구를 타락의 길에서 구하다		무리 대(隊) / 떨어질 추(墜) / 떨어질 타(堕) / 뼛골 수(髄) / 따를 수(随)
髄	뼛골 수(뼈(骨)에 있는(有) 영양분이 가는(辶)곳은 골수)	ずい 髄脳（ずいのう）ー수뇌 骨髄（こつずい）ー골수 真髄（しんずい）ー진수 脳髄（のうずい）ー뇌수 脊髄（せきずい）ー척수 脊髄損傷（せきずいそんしょう）ー척수 손상  脊髄が麻痺する（せきずいがまひする）ー척수가 마비되다		무리 대(隊) / 떨어질 추(墜) / 떨어질 타(堕) / 뼛골 수(髄) / 따를 수(随)
随	따를 수(언덕(阝)위의 존재(有)를 따를 수(辶))	ずい 随伴（ずいはん）ー수반 随伴する責任（ずいはんするせきにん）ー수반되는 책임  随分（ずいぶん）ー대단히, 몹시 随時（ずいじ）ー수시 随時利用できる（ずいじりようできる）ー수시로 이용할수 있다 随行（ずいこう）ー수행 随筆（ずいひつ）ー수필  半身不随（はんしんふずい）ー반신불수		무리 대(隊) / 떨어질 추(墜) / 떨어질 타(堕) / 뼛골 수(髄) / 따를 수(随)
惰	게으를 타(왼손(左)에 고기(月)을 쥐고 있을때 게을러지는 마음(心))	だ 惰性（だせい）ー타성 怠惰（たいだ）ー나태 (태타) 怠惰な生活に嫌気が差す（たいだなせいかつにいやけがさす）ー나태한 생활에 싫증이 나다		왼 좌(左) / 도울 좌(佐) / 게으를 타(惰) / 오른 우(右)
恭	공손할 공(공공장소(共)에서 마음(心)을 공손해야함)	きょう 恭敬（きょうけい）ー공경 目上に対する恭敬（めうえにたいするきょうけい）ー어른에 대한 공경 恭順（きょうじゅん）ー공순(고분고분함)	恭しい（うやうやしい）ー공손하다, 정중하다 恭しく接する（うやうやしくせっする）ー공경히 대하다	함께 공(共) / 공손할 공(恭) / 바칠 공(供) / 넓을 홍(洪) / 다를 이(異) / 뽑을(선택할) 선(選) / 항구 항(港)
賂	뇌물 뢰(재물(貝)을 각자 주는(各) 뇌물)	ろ 賄賂（わいろ）ー뇌물 口ふさぎの賄賂（くちふさぎのわいろ）ー입막음을 하기 위한 뇌물		각 각(各) / 격식 격(格) / 간략할 략(略) / 길 로(路) / 이을 락(絡) / 떨어질 락(落) / 손님 객(客) / 이마 액(額) / 뇌물 뢰(賂) / 낙농 락(酪)
酪	낙농 락(낙)(쇠젖을 발효시킨 술(酒)이 각각(各)다름)	らく 酪農（らくのう）ー낙농 酪農業（らくのうぎょう）ー낙농업 酪農業を営む（らくのうぎょうをいとなむ）ー낙농업을 하다		각 각(各) / 격식 격(格) / 간략할 략(略) / 길 로(路) / 이을 락(絡) / 떨어질 락(落) / 손님 객(客) / 이마 액(額) / 뇌물 뢰(賂) / 낙농 락(酪)
餓	굶주릴 아(나(我)는 밥을 못먹어(𩙿) 굶주림)	が 餓死（がし）ー아사 飢餓（きが）ー기아 難民を飢餓から救済する（なんみんをきがからきゅうさいする）ー난민을 기아에서 구제하다		나 아(我) / 굶주릴 아(餓)
