#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
挑	도전할 도(징조(兆)를 손(扌)으로 도전) (징조 조(兆) : 쌀 알로 사람을 점치는 모습)	ちょう 挑戦（ちょうせん）ー도전 挑戦者（ちょうせんしゃ）ー도전자 挑戦を受けて立つ（ちょうせんをうけてたつ）ー도전을 받아 응하다 挑発（ちょうはつ）ー도발 挑発行為（ちょうはつこうい）ー도발행위 挑発にのる（ちょうはつにのる）ー도발에 응하다	挑む（いどむ）ー도전하다 実現不可能な課題に挑む（じつげんふかのうなかだいにいどむ）ー실현 불가능한 과제에 도전하다	징조 조(兆) / 복숭아 도(桃) / 도망칠 도(逃) / 바라볼 조(眺) / 뛸 도(跳) / 도전할 도(挑)
画	그림 화 / 그을 획(밭의 경계를 그린모습)	が (가) 漫画（まんが）ー만화 映画（えいが）ー영화 映画監督（えいがかんとく）ー영화감독 画面（がめん）ー화면 液晶画面（えきしょうがめん）ー액정 화면 録画（ろくが）ー녹화 留守録画（るすろくが）ー예약 녹화 動画（どうが）ー동화 抽象画（ちゅうしょうが）ー추상화 自画自賛（じがじさん）ー자화자찬 かく (획) 計画（けいかく）ー계획 無計画（むけいかく）ー무계획 画期的（かっきてき）ー획기적 企画（きかく）ー기획 区画（くかく）ー구획		
両	두 량(저울대의 추 가 양쪽에 달린모습)	りょう 両方（りょうほう）ー양방 両方の特徴を併せて考える（りょうほうのとくちょうをあわせてかんがえる）ー양쪽의 특징을 아울러 생각하다 両親（りょうしん）ー부모 両替（りょうがえ）ー환전 (량체) 両側（りょうがわ）ー양측 両極（りょうきょく）ー양극 両立（りょうりつ）ー양립 両面（りょうめん）ー양면 進退両難（しんたいりょうなん）ー진퇴양난		두 량(両) / 찰 만(満)
図	그림 도	ず 図鑑（ずかん）ー도감  図形（ずけい）ー도형 指図（さしず）ー지시 図案（ずあん）ー도안 図面（ずめん）ー도면 断面図（だんめんず）ー단면도 平面図（へいめんず）ー평면도 立面図（りつめんず）ー입면도 設計図（せっけいず）ー설계도  図表（ずひょう）ー도표 合図（あいず）ー신호 (합도) 地図（ちず）ー지도 と 意図（いと）ー의도 図書館（としょかん）ー도서관	図る（はかる）ー의도하다, 노리다 相互の親睦を図る（そうごのしんぼくをはかる）ー서로의 친목을 도모하다	
囲	둘러쌀 위(우물(井)을 둘러(口)쌈)	い 周囲（しゅうい）ー주위 周囲 を見渡す余裕もない（しゅういをみわたすよゆうもない）ー주위를 둘러볼 여유도 없다 周囲環境（しゅういかんきょう）ー주위환경 範囲（はんい）ー범위 広範囲（こうはんい）ー광범위 雰囲気（ふんいき）ー분위기 包囲（ほうい）ー포위 包囲攻撃（ほういこうげき）ー포위 공격 囲碁（いご）ー바둑	囲む（かこむ）ー둘러싸다 敵の陣地を囲む（てきのじんちをかこむ）ー적의 진지를 포위하다 囲う（かこう）ー둘러싸다, 숨겨두다	
世	세상 세	せい 世紀（せいき）ー세기 近世（きんせい）ー근세 処世（しょせい）ー처세 せ 世話（せわ）ー도와줌, 보살핌 世話になる（せわになる）ー신세를 지다 世話をやく（せわをやく）ー보살펴 주다 世話がない（せわがない）ー다루기 쉽다 世界（せかい）ー세계 世間（せけん）ー세간 出世（しゅっせ）ー출세 世代（せだい）ー세대 世間（せけん）ー세상 世論（せろん）ー여론 (세론) お世辞（おせじ）ー겉치레 인사	よ 世の中（よのなか）ー세상 世論（よろん、せろん）ー여론	세상 세(世) / 샐 설(泄) / 잎 엽(葉) / 버릴 기(棄)
然	순리 연(개(犬)고기(月)가 불(灬)타는것은 자연의 순리임)	ぜん 全然（ぜんぜん）ー전혀 自然（しぜん）ー자연 自然死（しぜんし）ー자연사 不自然（ふしぜん）ー부자연 突然（とつぜん）ー돌연 突然死（とつぜんし）ー돌연사 突然変異（とつぜんへんい）ー돌연변이 偶然（ぐうぜん）ー우연 断然（だんぜん）ー단연 漠然（ばくぜん）ー막연 必然（ひつぜん）ー필연 その出会いは必然です（そのであいはひつぜんです）ー그 만남은 필연입니다 当然（とうぜん）ー당연	ねん 天然（てんねん）ー천연 天然資源（てんねんしげん）ー천연자원 天然素材（てんねんそざい）ー천연소재 天然素材の良さを見直す（てんねんそざいのよさをみなおす）ー천연 소재가 좋다는 것을 재인식하다	순리 연(然) / 탈 연(燃)
燃	탈 연(불(火)의 순리(然)는 불타는것) (순리 연(然) : 개(犬)고기(月)가 불(灬)타는것은 자연의 순리임)	ねん 燃料（ねんりょう）ー연료 固体燃料（こたいねんりょう）ー고체연료 燃費（ねんぴ）ー연비 この車は燃費が良いのが売りだ （このくるまはねんぴがよいのがうりだ）ー이 차는 연비가 좋은것이 강점이다 燃焼（ねんしょう）ー연소 完全燃焼（かんぜんねんしょう）ー완전 연소 不燃（ふねん）ー불연 不燃性（ふねんせい）ー불연성 難燃（なんねん）ー난연  可燃（かねん）ー가연 可燃性（かねんせい）ー가연성	燃える（もえる）ー타다, 불길이 일다 火が盛んに燃える（ひがさかんにもえる）ー불이 활활 하다 燃やす（もやす）ー태우다, 연소시키다 情熱を燃やす（じょうねつをもやす）ー정열을 불태우다 燃す（もす）ー(낙엽을) 태우다 落葉を燃す（おちばおもす）ー낙엽을 태우다	순리 연(然) / 탈 연(燃)
酒	술 주(술병(酉)에 담긴 술(氵))	しゅ 飲酒（いんしゅ）ー음주 酒宴（しゅえん）ー주연, 술잔치 節酒（せっしゅ）ー절주 造酒（ぞうしゅ）ー주조 酒量（しゅりょう）ー주량 葡萄酒（ぶどうしゅ）ー포도주 果実酒（かじつしゅ）ー과실주 禁酒（きんしゅ）ー금주	さけ お酒（おさけ）ー술 酒飲み（さけのみ）ー술을 즐겨 마심 酒酔い（さけよい）ー술에 취함 甘酒（あまざけ）ー감주 さか 居酒屋（いざかや）ー술집 酒盛り（さかもり）ー술잔치, 연회	넉 사(四) / 서녁 서(西) / 술 주(酒) / 짝 필(匹)
比	비교할 비(비수(匕)두개를 비교하는모습)	ひ 比較（ひかく）ー비교 比較的（ひかくてき）ー비교적 対比（たいひ）ー대비 比率（ひりつ）ー비율 比例（ひれい）ー비례 正比例（せいひれい）ー정비례 反比例（はんぴれい）ー반비례 比重（ひじゅう）ー비중 比喩（ひゆ）ー비유 比況（ひきょう）ー비교 比肩（ひけん）ー비견, 견줌 比肩する者のないすぐれた人物（ひけんするもののないすぐれたじんぶつ）ー견줄자가 없는 뛰어난 인물	比べる（くらべる）ー비교하다 他人と比べる（たにんとくらべる）ー남과 비교하다	비교할 비(比) / 비평할 비(批)
批	비평할 비(손(扌)으로 비교(比)하며 비평함)	ひ 批評（ひひょう）ー비평  悪意の剥き出しな批評（あくいのむきだしなひひょう）ー악의를 드러낸 비평  批評家（ひひょうか）ー비평가 批判（ひはん）ー비판 批判的（ひはんてき）ー비판적 批難（ひなん）ー비난 批難が殺到する（ひなんがさっとうする）ー비난이 빗발치다		비교할 비(比) / 비평할 비(批)
夏	여름 하(머리(頁)가 천천히(夂)익어가는 여름)	か 夏季（かき）ー하계 初季（しょか）ー초여름 盛夏（せいか）ー한여름	なつ 夏（なつ）ー여름 夏の暑い盛り（なつのあついさかり）ー여름의 한창 더울 때  夏休み（なつやすみ）ー여름 방학 真夏（まなつ）ー한여름 夏服（なつふく）ー하복, 여름 옷	
秋	가을 추(벼(禾)추수 후 불(火)내는 계절)	しゅう 秋季（しゅうき）ー추계 立秋（りっしゅう）ー입추 晩秋（ばんしゅう）ー만추 春夏秋冬（しゅんかしゅうとう）ー춘하추동	あき 秋（あき）ー가을 秋雨（あきさめ）ー가을비	가을 추(秋) / 근심 수(愁)
冬	겨울 동(얼음(冫)이 생겨 천천히(夂) 걸어야함)	とう 冬眠（とうみん）ー동면 冬眠動物（とうみんどうぶつ）ー동면 동물 クマは冬眠する習性がある（クマはとうみんするしゅうせいがある）ー곰은 동면하는 습성이 있다 冬季（とうき）ー동계 越冬（えっとう）ー월동	ふゆ 冬（ふゆ）ー겨울 真冬（まふゆ）ー한겨울	겨울 동(冬) / 끝날 종(終)
終	끝날 종(겨울(冬) 실(糸)은 얼어서 끝남)	しゅう 終日（しゅうじつ）ー종일 終点（しゅうてん）ー종점 終点で降りる（しゅうてんでおりる）ー종점에서 내리다 最終（さいしゅう）ー최종 最終回（さいしゅうかい）ー최종회 終了（しゅうりょう）ー종료 試合終了（しあいしゅうりょう）ー경기 종료 終着（しゅうちゃく）ー종착 終着駅（しゅうちゃくえき）ー종착역 終末（しゅうまつ）ー종말 終決（しゅうけつ）ー종결 終結（しゅうけつ）ー종결 捜査終結（そうさしゅうけつ）ー수사 종결 終始一貫（しゅうしいっかん）ー시종일관 終身保険（しゅうしんほけん）ー종신보험	終わる（おわる）ー끝나다 結局空頼みに終わる（けっきょくそらだのみにおわる）ー결국 헛된 기대로 끝나다 終える（おえる）ー끝내다 午前中 に仕事を終える（ごぜんちゅうにしごとをおえる）ー오전중에 일을 마치다	겨울 동(冬) / 끝날 종(終)
熱	더울 열(언덕(坴)을 둥글게(丸)말아 가열(灬)하면 더움) (언덕 륙(坴) : 사람(儿)이 언덕(土) 위아래에 있는모습)	ねつ 加熱（かねつ）ー가열 加熱炉（かねつろ）ー가열로 過熱（かねつ）ー과열 灼熱（しゃくねつ）ー작열  灼熱 する太陽（しゃくねつするたいよう）ー작열하는 태양 熱意（ねつい）ー열의 情熱（じょうねつ）ー정열 熱量（ねつりょう）ー열량 光熱費（こうねつひ）ー광열비 白熱電球（はくねつでんきゅう）ー백열전구 地熱発電（ちねつはつでん）ー지열 발전 熱弁（ねつべん）ー열변 解熱剤（げねつざい）ー해열제 断熱（だんねつ）ー단열 断熱効果（だんねつこうか）ー단열 효과 高熱（こうめつ）ー고열 熱愛（ねつあい）ー열애 放熱（ほうねつ）ー방열 発熱（はつねつ）ー발열 発熱物質（はつねつぶっしつ）ー발열 물질 熱烈（ねつれつ）ー열렬 予熱（よねつ）ー예열 熱湯（ねっとう）ー열탕	熱い（あつい）ー뜨겁다 熱が出て体が熱い（ねつがでてからだがあつい）ー열이 나서 몸이 뜨겁다	언덕 륙(陸) / 화목할 목(睦) / 더울 열(熱) / 기세 세(勢)
勢	기세 세(언덕(坴)을 둥글게(丸)말기 위해 힘(力)을 쓰는 기세) (언덕 륙(坴) : 사람(儿)이 언덕(土) 위아래에 있는모습)	せい 姿勢（しせい）ー자세 姿勢を正す（しせいをただす）ー자세를 바로 잡다 虚勢（きょせい）ー허세 虚勢を張る（きょせいをはる）ー허세를 부리다 実勢（じっせい）ー실세 情勢（じょうせい）ー정세, 형세 国際 情勢 （こくさいじょうせい）ー국제정세 態勢（たいせい）ー태세 態勢が整う（たいせいがととのう）ー태세가 갖추어지다 勢力（せいりょく）ー세력 勢力圏（せいりょくけん）ー세력권 優勢（ゆうせい）ー우세 劣勢（れっせい）ー열세	いきおい 勢い（いきおい）ー기세 火はす凄まじい勢いで燃えていた（ひはすさまじいいきおいでもえていた）ー불은 무서운 기세로 타고 있었다	언덕 륙(陸) / 화목할 목(睦) / 더울 열(熱) / 기세 세(勢)
雨	비 우	う 梅雨（ばいう、つゆ）ー장마 梅雨前線（ばいうぜんせん）ー장마 전선 雨季（うき）ー우기 雨天（うてん）ー우천 当日雨天の際は中止する（とうじつうてんのさいはちゅうしする）ー당일 우천인 경우에는 중지한다 暴雨（ぼうう）ー폭우 集中豪雨（しゅうちゅうごうう）ー집중 호우 降雨（こうう）ー강우 降雨量（こううりょう）ー강우량 雷雨（らいう）ー뇌우 驟雨（しゅうう）ー소나기	あめ 雨（あめ）ー비 大雨（おおあめ）ー큰 비 大雨注意報（おおあめちゅういほう）ー호우 주의보 長雨（ながあめ）ー장마 さめ 秋雨（あきさめ）ー가을비 春雨（はるさめ）ー봄비 小雨（こさめ）ー가랑비 霧雨（きりさめ）ー안개비 あま 雨戸（あまど）ー폭풍우 방지 덧문 雨具（あまぐ）ー우비 雨宿り（あまやどり）ー비가 그치기를 기다림 雨漏り（あまもり）ー비가 샘 雨粒（あまつぶ）ー빗방울	비 우(雨) / 눈 날릴 분(雰) / 신령 령(霊) / 떨어질 령(零) / 서리 상(霜) / 우레 뢰(雷) / 번개(전기) 전(電) / 안개 무(霧) / 이슬 로(露) / 눈 설(雪) / 구름 운(雲) / 흐릴 담(曇)
雪	눈 설(손(彐)에 담을수 있게 얼어서 내리는 비(雨))	せつ 雪辱（せつじょく）ー설욕 雪辱戦（せつじょくせん）ー설욕전 積雪（せきせつ）ー적설 積雪で列車が立ち往生する（せきせつでれっしゃがたちおうじょうする）ー적설로 열차가 꼼짝 못하다 積雪量（せきせつりょう）ー적설량 除雪（じょせつ）ー제설 除雪車（じょせつしゃ）ー제설차	ゆき 雪（ゆき）ー눈 雪国（ゆきぐに）ー설국 初雪（はつゆき）ー첫눈 雪崩（なだれ）ー눈사태 吹雪（ふぶき）ー눈보라	비 우(雨) / 눈 날릴 분(雰) / 신령 령(霊) / 떨어질 령(零) / 서리 상(霜) / 우레 뢰(雷) / 번개(전기) 전(電) / 안개 무(霧) / 이슬 로(露) / 눈 설(雪) / 구름 운(雲) / 흐릴 담(曇)
電	번개/전기 전(우레(雷)로 땅에 흐르는 전기(丿))	でん 電話（でんわ）ー전화 電車（でんしゃ）ー전차 電報（でんぽう）ー전보 電灯（でんとう）ー전등 発電（はつでん）ー발전 停電（ていでん）ー정전 電柱（でんちゅう）ー전주 充電（じゅうでん）ー충전 電池（でんち）ー전지 乾電池（かんでんち）ー건전지 電気（でんき）ー전기 電波（でんぱ）ー전파 電子（でんし）ー전자 電力（でんりょく）ー전력 電流（でんりゅう）ー전류 電源（でんげん）ー전원		비 우(雨) / 눈 날릴 분(雰) / 신령 령(霊) / 떨어질 령(零) / 서리 상(霜) / 우레 뢰(雷) / 번개(전기) 전(電) / 안개 무(霧) / 이슬 로(露) / 눈 설(雪) / 구름 운(雲) / 흐릴 담(曇)
朝	아침 조(아침(龺)에 몸(月)을 일으킴)	ちょう 朝食（ちょうしょく）ー아침 식사 朝食抜きで腹が減る（ちょうしょくぬきではらがへる）ー아침을 걸러 허기가 진다 朝三暮四（ちょうさんぼし）ー조삼모사 朝刊（ちょうかん）ー조간 早朝（そうちょう）ー조조	あさ 朝（あさ）ー아침 毎朝（まいあさ）ー매일 아침 朝日（あさひ）ー아침해 朝寝坊（あさねぼう）ー늦잠 今朝（けさ）ー오늘 아침	아침 조(朝) / 조수 조(潮) / 비웃을 조(嘲) / 줄기 간(幹)
川	내 천	せん 河川（かせん）ー하천 汚水を河川に流す（おすいをかせんにながす）ー오수를 하천으로 흘려 보내다	かわ 川（かわ）ー강	내 천(川) / 순할 순(順) / 가르칠 훈(訓)
順	순할 순(냇물(川)처럼 우두머리(頁)명령을 순하게 따름)	じゅん 順々（じゅんじゅん）ー차례차례 順番（じゅんばん）ー순번, 차례 やっと私の順番が回 ってきた（やっとわたしのじゅんばんがまわってきた）ー겨우 내 차례가 돌아왔다 順序（じゅんじょ）ー순서 順調（じゅんちょう）ー순조 事が順調に運ぶ（ことがじゅんちょうにはこぶ）ー일이 순조롭게 되어간다 手順（てじゅん）ー수순 従順（じゅうじゅん）ー순종 順位（じゅんい）ー순위 順位争い（じゅんいあらそい）ー순위 싸움 順応（じゅんおう）ー순응, 적응 順守（じゅんしゅ）ー준수 順法（じゅんぽう）ー준법 語順（ごじゅん）ー어순		내 천(川) / 순할 순(順) / 가르칠 훈(訓)
夕	저녁 석	せき 一朝一夕（いっちょういっせき）ー하루아침	ゆう 夕方（ゆうがた）ー저녁때 夕方になる（ゆうがたになる）ー저녁때가 되다 夕飯（ゆうはん）ー저녁밥 夕食（ゆうしょく）ー저녁밥 夕日（ゆうひ）ー석양 夕べ（ゆうべ）ー저녁때	저녁 석(夕) / 바깥 외(外) / 꿈 몽(夢)
外	바깥 외	がい 外国（がいこく）ー외국 外国人（がいこくじん）ー외국인 以外（いがい）ー이외 郊外（こうがい）ー교외 外部（がいぶ）ー외부 外食（がいしょく）ー외식 案外（あんがい）ー예상 외 意外（いがい）ー예상 외 海外（かいがい）ー해외 外出（がいしゅつ）ー외출 例外（れいがい）ー예외 除外（じょがい）ー제외 屋外（おくがい）ー옥외 外見（がいけん）ー외견, 겉보기 外交（がいこう）ー외교 外貨（がいか）ー외화 外来（がいらい）ー외래 げ 外科（げか）ー외과 形成外科（けいせいげか）ー성형 외과 整形外科（せいけいげか）ー정형 외과	そと 外（そと）ー밖 外側（そとがわ）ー바깥쪽 外回り（そとまわり）ー외근 ほか 外（ほか）ー그밖 その外（そのほか）ー그밖에 外す（はずす）ー떼다, 벗기다 質問の矢を外す（しつもんのやをはずす）ー질문의 화살을 피하다 外れる（はずれる）ー (박은것 등이) 빠지다, 벗겨지다 的外れ（まとはずれ）ー빗나감	저녁 석(夕) / 바깥 외(外) / 꿈 몽(夢)
夢	꿈 몽(저녁(夕)에 풀(艹)로된 그물(罒)을 덮고(冖)잠)	む 夢中（むちゅう）ー몰두, 열중함 作り出すと夢中だ（つくりだすとむちゅうだ）ー만들기 시작하면 열중한다 悪夢（あくむ）ー악몽 夢幻（むげん）ー몽환 夢想（むそう）ー몽상 夢遊病（むゆうびょう）ー몽유병	ゆめ 夢（ゆめ）ー꿈 空夢（そらゆめ）ー헛꿈, 거짓꿈 夢現（ゆめうつつ）ー비몽사몽 夢見る（ゆめみる）ー꿈꾸다	저녁 석(夕) / 바깥 외(外) / 꿈 몽(夢)
多	많을 다	た 多数（たすう）ー다수 多数決（たすうけつ）ー다수결 多少（たしょう）ー다소 多分（たぶん）ー많음, 아마, 대개 多様（たよう）ー다양 多様性（たようせい）ー다양성 多様性を認め合う社会（たようせいをみとめあうしゃかい)ー다양성을 서로 인정하는 사회   多目的（たもくてき）ー다목적 雑多（ざった）ー잡다하다	多い（おおい）ー많다 口が多い（くちがおおい）ー말이 많다	많을 다(多) / 옮길 이(移)
移	옮길 이(많은(多) 벼(禾)를 옮김)	い 移転（いてん）ー이전 移転価格（いてんかかく）ー이전가격 転移（てんい）ー전이 癌が転移する（がんがてんいする）ー암이 전이하다 移動（いどう）ー이동 推移（すいい）ー추이 最低賃金の推移を見る（さいていちんぎんのすいいをみる）ー최저 임금 추이를 살펴보다 移民（いみん）ー이민 海外移民（かいがいいみん）ー해외이민 移籍（いせき）ー이적 移籍金（いせききん）ー이적료 移住（いじゅう）ー이주 移植（いしょく）ー이식 臓器移植（ぞうきいしょく）ー장기이식 心臓移植（しんぞういしょく）ー심장이식 感情移入（かんじょういにゅう）ー감정 이입	移る（うつる）ー바뀌다, 옮기다, 이동하다 本籍が東京に移る（ほんせきがとうきょうにうつる）ー본적이 도쿄로 옮겨지다 移す（うつす）ー옮기다 居を他に移す（きょをたにうつす）ー거처를 다른곳으로 옮기다	많을 다(多) / 옮길 이(移)
日	날/해 일	にち 日時（にちじ）ー일시 一日（いちにち）ー하루 毎日（まいにち）ー매일 日常（にちじょう）ー일상 日にち（ひにち）ー날짜 じつ 平日（へいじつ）ー평일 祭日（さいじつ）ー제일 先日（せんじつ）ー요전날 休日（きゅうじつ）ー휴일 連日（れんじつ）ー연일	ひ 日(ひ）ー해 朝日（あさひ）ー아침 해 日曜日（にちようび）ー일요일 明日（あした）ー내일 昨日（きのう）ー어제 今日（きょう）ー오늘	
月	달 월	げつ 月曜日（げつようび）ー월요일 今月（こんげつ）ー이번달 がつ 生年月日（せいねんがっぴ）ー생년월일 お正月（おしょうがつ）ー설날 一月（いちがつ）ー1월 二月（にがつ）ー2월 三月（さんがつ）ー3월 四月（しがつ）ー4월 五月（ごがつ）ー5월 六月（ろくがつ）ー6월 七月（しちがつ）ー7월 八月（はちがつ）ー8월 九月（くがつ）ー9월 十月（じゅうがつ）ー10월 十一月（じゅういちがつ）ー11월 十二月（じゅうにがつ）ー12월	つき 月（つき）ー달 月日（つきひ）ー세월	
明	밝을 명(해(日)와 달(月)이있어 밝음)	めい 説明（せつめい）ー설명 証明（しょうめい）ー증명 印鑑証明（いんかんしょうめい）ー인감 증명 発明（はつめい）ー발명 発明品（はつめいひん）ー발명품 明暗（めいあん）ー명암 明確（めいかく）ー명확 明白（めいはく）ー명백 明白な事実（めいはくなじじつ）ー명백한 사실 明瞭（めいりょう）ー명료 文明（ぶんめい）ー문명 透明（とうめい）ー투명 透明人間（とうめいにんげん）ー투명인간 賢明（けんめい）ー현명 不明（ふめい）ー불명 行方不明（ゆくえふめい）ー행방불명 明朗（めいろう）ー명랑 糾明（きゅうめい）ー규명 鮮明（せんめい）ー선명 照明（しょうめい）ー조명 間接照明（かんせつしょうめい）ー간접조명 明快（めいかい）ー명쾌 有名（ゆうめい）ー유명 みょう 明朝（みょうちょう）ー내일 아침 明晩（みょうばん）ー내일 밤	明かり（あかり）ー빛 明日（あした）ー내일 明るい（あかるい）ー밝다, 명랑하다 明るむ（あかるむ）ー밝아지다 明らむ（あからむ）ー밝아지다 明らかだ（あきらかだ）ー명백함, 분명함 明く（あく）ー(계약) 끝나다 / (옷깃) 풀어지다  明ける（あける）ー날이 밝다 明かす（あかす）ー밝히다 種明かし（たねあかし）ー마술 트릭공개 / 내막 공개	
山	뫼 산	さん 沢山（たくさん）ー많음 沢山の人でごったがえす（たくさんのひとでごったがえす）ー많은 인파로 복작거리다 山林（さんりん）ー산림 山岳（さんがく）ー산악 山脈（さんみゃく）ー산맥 登山（とざん）ー등산 富士山（ふじさん）ー후지산	やま 山（やま）ー산 青山（あおやま）ー푸른 산 石山（いしやま）ー돌산 山火事（やまかじ）ー산불	뫼 산(山) / 신선 선(仙) / 고개 상(峠)
出	날 출	しゅつ 輸出（ゆしゅつ）ー수출 逆輸出（ぎゃくゆしゅつ）ー역수출 出席（しゅっせき）ー출석 出場（しゅつじょう）ー출장 提出（ていしゅつ）ー제출 外出（がいしゅつ）ー외출 出現（しゅつげん）ー출현 露出（ろしゅつ）ー노출 露出症（ろしゅつしょう）ー노출증 放出（ほうしゅつ）ー방출 支出（ししゅつ）ー지출 続出（ぞくしゅつ）ー속출 演出（えんしゅつ）ー연출 出演（しゅつえん）ー출연 脱出（だっしゅつ）ー탈출 進出（しんしゅつ）ー진출 出題（しゅつだい）ー출제 救出（きゅうしゅつ）ー구출 転出（てんしゅつ）ー전출 射出（しゃしゅつ）ー사출 出撃（しゅつげき）ー출격 搬出（はんしゅつ）ー반출 神出鬼没（しんしゅつきぼつ）ー신출귀몰 すい 出納（すいとう）ー출납	出る（でる）ー나오다 遠出（とおで）ー멀리 나감 出す（だす）ー내다 見出す（みいだす）ー찾아내다 吸い出す（すいだす）ー빨아내다	날 출(出) / 졸렬할 졸(拙)
追	쫓을 추(언덕(𠂤)에 도망간 적을 쫓음(辶))	つい 追加（ついか）ー추가 追加予算（ついかよさん）ー추가예산  追跡（ついせき）ー추적 追放（ついほう）ー추방 追究（ついきゅう）ー추구 真理の追求（しんりのついきゅう）ー진리의 추구 追憶（ついおく）ー추억 追憶にふける（ついおくにふける）ー추억에 잠기다 追突（ついとつ）ー추돌 追突事故（ついとつじこ）ー추돌 사고  追慕（ついぼ）ー추모 追撃（ついげき）ー추격 追及（ついきゅう）ー(책임을) 추궁 / (도망치는 적을) 뒤쫓음	追う（おう）ー따르다, 뒤쫓아 가다 追う者と追われる者 （おうものとおわれるもの）ー쫓는 자와 쫓기는 자 追い払う（おいはらう）ー내쫓다, 추방하다	언덕 구(丘) / 병사 병(兵) / 물가 빈(浜) / 큰산 악(岳) / 언덕 부(阜) / 쫓을 추(追)
風	바람 풍(벌레(䖝) 집(𠘨)도 날리는 바람)	ふう 台風（たいふう）ー태풍 台風の被害を免れる（たいふうのひがいをまぬかれる）ー태풍 피해를 면하다 風景（ふうけい）ー풍경 風船（ふうせん）ー풍선 風俗（ふうぞく）ー풍속 暴風（ぼうふう）ー폭풍 風習（ふうしゅう）ー풍습 気風（きふう）ー기풍 風刺（ふうし）ー풍자 風力（ふうりょく）ー풍력 強風（きょうふう）ー강풍 ふ 風呂（ふろ）ー욕조 風情（ふぜい）ー운치	かぜ 風（かぜ）ー바람 風邪（かぜ）ー감기 (풍사) かざ 風穴（かざあな）ー바람 구멍 風音（かざおと）ー바람 소리 風向き（かざむき）ー풍향 風車（かざぐるま）ー풍차	바람 풍(風) / 산바람 람(嵐)
色	색 색	しょく 染色（せんしょく）ー염색 染色体（せんしょくたい）ー염색체 性染色体（せいせんしょくたい）ー성염색체 特色（とくしょく）ー특색 脚色（きゃくしょく）ー각색 小説 を映画に脚色する（しょうせつをえいがにきゃくしょくする）ー소설을 영화로 각색하다 着色（ちゃくしょく）－착색 無色（むしょく）ー무색 無色透明（むしょくとうめい）ー무색 투명 無彩色（むさいしょく）ー무채색 気色（きしょく）ー기색 顔色（がんしょく）ー안색 物色（ぶっしょく）ー물색 安 くて良い品を物色する（やすくてよいしなをぶっしょくする）ー싸고도 좋은 물품을 물색하다 脱色（だっしょく）ー탈색 遜色（そんしょく）ー손색 遜色がない（そんしょくがない）ー(다른것과 견주어도) 손색이 없다 原色（げんしょく）ー원색 有色人種（ゆうしょくじんしゅ）ー유색인종 黄色人種（こうしょくじんしゅ）ー황색인종 しき 景色（けしき）ー경치 色感（しきかん）ー색감 色彩（しきさい）ー색채 色欲（しきよく）ー색욕 色素（しきそ）ー색소 色盲（しきもう）ー색맹 色調（しきちょう）ー색조	いろ 色（いろ）ー색 色々（いろいろ）ー여러가지 色紙（いろがみ）ー색종이 色づく（いろづく）ー물들다, 색을 띄다 桜色（さくらいろ）ー연분홍색	
音	소리 음(서서(立) 말(日)소리)	おん 音楽（おんがく）ー음악 音楽家（おんがくか）ー음악가 雑音（ざつおん）ー잡음 音程（おんてい）ー음정 発音（はつおん）ー발음 音声（おんせい）ー음성 騒音（そうおん）ー소음 騒音公害（そうおんこうがい）ー소음공해  音量（おんりょう）ー음량 音量に富む（おんりょうにとむ）ー음량이 풍부하다 録音（ろくおん）ー녹음 生録音（なまろくおん）ー생녹음 音波（おんぱ）ー음파 超音波（ちょうおんぱ）ー초음파 摩擦音（まさつおん）ー마찰음 超音速（ちょうおんそく）ー초음속 不協和音（ふきょうわおん）ー불협화음 絶対音感（ぜったいおんかん）ー절대음감 いん 福音（ふくいん）ー복음 子音（しいん）ー자음 母音（ぼいん）ー모음	おと 音（おと）ー소리 足音（あしおと）ー발소리 雨音（あまおと）ー빗소리 水音（みずおと）ー물소리 靴音（くつおと）ー구두소리 風音（かぜおと）ー바람소리 物音（ものおと）ー어떤 소리 ね 音色（ねいろ）ー음색 美しい音色にすっかり魅せられる（うつくしいねいろにすっかりみせられる）ー아름다운 음색에 완전히 매료되다 本音（ほんね）ー본심	소리 음(音) / 뜻 의(意) / 운 운(韻) / 어두울 암(暗)
力	힘 력	りょく 能力（のうりょく）ー능력 努力（どりょく）ー노력 実力（じつりょく）ー실력 協力（きょうりょく）ー협력 強力（きょうりょく）ー강력 体力（たいりょく）ー체력 効力（こうりょく）ー효력 学力（がくりょく）ー학력 全力（ぜんりょく）ー전력 魅力（みりょく）ー매력 暴力（ぼうりょく）ー폭력 速力（そくりょく）ー속력 活力（かつりょく）ー활력 重力（じゅうりょく）ー중력 圧力（あつりょく）ー압력 原子力（げんしりょく）ー원자력 威力（いりょく）ー위력 勢力（せいりょく）ー세력 弾力（だんりょく）ー탄력 武力（ぶりょく）ー무력 動力（どうりょく）ー동력 原動力（げんどうりょく）ー원동력 視力（しりょく）ー시력 権力（けんりょく）ー권력 りき 剛力（ごうりき）ー강력 力説（りきせき）ー역설 力士（りきし）ー씨름꾼 馬力（ばりき）ー마력	ちから 力（ちから）ー힘 底力（そこぢから）ー저력 力強い（ちからづよい）ー안심이 되다	
